name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
One Of Them Girls,0.294,0.643,0.79,0.0,0.107,-6.079,0.0462,95.987,0.8,4
More Than My Hometown,0.601,0.621,0.882,0.0,0.132,-5.01,0.0459,126.014,0.574,4
Nothin' on You,0.566,0.358,0.358,0.000232,0.104,-7.18,0.0307,134.629,0.158,3
Friendship,0.728,0.68,0.334,0.000491,0.112,-11.375,0.0373,129.526,0.483,4
A Simple Song,0.87,0.611,0.198,0.000432,0.109,-16.525,0.0285,77.301,0.412,4
Gabrielle,0.0485,0.707,0.722,0.0,0.122,-6.722,0.0284,98.991,0.431,4
Crowd My Mind,0.742,0.522,0.359,0.0,0.108,-8.951,0.0272,109.141,0.233,3
Six Feet Apart,0.335,0.565,0.598,0.0,0.124,-5.894,0.0276,155.814,0.449,4
The Reason,0.265,0.323,0.717,0.0,0.206,-5.579,0.0614,67.994,0.479,4
Better Than Me - Acoustic,0.458,0.501,0.431,0.0,0.117,-7.284,0.037,79.995,0.524,4
Good Lord Lorrie,0.274,0.555,0.649,0.0,0.301,-6.756,0.0284,78.994,0.581,4
Ballad Of A Southern Man,0.432,0.605,0.53,0.0,0.095,-6.566,0.0261,73.986,0.38,1
What Kinda Gone,0.257,0.494,0.861,0.0,0.103,-5.236,0.0365,172.052,0.668,4
Boy,0.644,0.498,0.408,0.0,0.0993,-7.946,0.0331,78.942,0.383,4
Leaving Love Behind,0.889,0.47,0.258,0.0,0.0887,-6.994,0.0346,85.773,0.358,4
Beer Can’t Fix,0.0317,0.711,0.774,0.0,0.124,-4.068,0.0308,111.016,0.939,4
"SIGNED, SOBER YOU",0.594,0.536,0.445,0.0,0.0961,-7.967,0.0304,132.039,0.345,4
He Went To Jared (HARDY feat. Morgan Wallen),0.054,0.563,0.806,7.73e-06,0.204,-5.11,0.0474,140.075,0.68,4
I'm Gonna Miss Her,0.55,0.559,0.464,0.0,0.107,-9.687,0.0272,98.354,0.351,4
THROWBACK,0.217,0.621,0.706,0.0,0.109,-6.371,0.0341,124.076,0.521,4
"Redneck Tendencies (HARDY feat. Trace Adkins, Joe Diffie)",0.0237,0.641,0.746,0.0,0.103,-5.21,0.0316,122.002,0.816,4
"My Kinda Livin’ (HARDY feat. Hunter Phelps, Jameson Rodgers)",0.488,0.571,0.619,0.0,0.115,-5.879,0.0298,144.054,0.719,4
Somewhere That You Don't Go,0.00603,0.642,0.808,0.0,0.314,-5.576,0.0382,105.919,0.673,4
Matagorda Bay,0.439,0.763,0.545,0.0,0.131,-7.785,0.0289,115.003,0.543,4
Bottom Of The Fifth,0.202,0.535,0.899,0.0,0.135,-3.278,0.05,174.126,0.813,4
Here And Now,0.0477,0.52,0.841,0.0,0.25,-3.048,0.0524,147.963,0.705,4
Be A Light,0.0397,0.509,0.493,1.32e-06,0.102,-6.676,0.0266,97.846,0.264,4
