name,uri,genres
Amarillo by Morning,5UfrL0h1wJEiUBDyMnW4F5,"['country pop', 'red dirt', 'texas country']"
Some People Do,4GQ1I4CgivCwZFjyTz0Y6x,"['contemporary country', 'country', 'country road']"
Rumor (Bryan Todd Remix),1nBJxJ5aI1jWjcw731YwHe,"['contemporary country', 'country', 'country road', 'modern country rock']"
My Heart Is a Bar,6ZAKFP9hbfAoMl39BikwGF,"['contemporary country', 'country', 'country road']"
People Are Crazy,5JnLiuMgRAWoHYOhatFP3s,"['contemporary country', 'country', 'country road', 'modern country rock']"
Little Bit of Life,1jSZ1IETySh2kDTnyfIE0I,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
I Wish Grandpas Never Died,7Dxes6VnfbZYV0S2QTnVuT,"['contemporary country', 'country road']"
Georgia Time,5XqHOqbjKb7YsQV6f3eGeD,"['contemporary country', 'country road']"
This Is It,34DFpyq5NJJ79GnGbbJH3p,"['contemporary country', 'country', 'country road', 'modern country rock']"
Blue Collar Boys,0KtxdSPi1ZbDc3wwD2IGF0,['contemporary country']
Better Together,1tSGw3h54aHModEHHL1HGK,['contemporary country']
Nothing Like You,5ppDdMho96v8gdDm7HKEbK,['contemporary country']
"1, 2 Many",6pgN3d6oBrhmrSAKBfWNsf,['contemporary country']
What You See Is What You Get,1xIgz2QjA85ZpXiIoj6mMo,['contemporary country']
A Long Way,3z1QH1O1h15lFROjcECqgi,['contemporary country']
Chasin' You,5MwynWK9s4hlyKHqhkNn4A,['contemporary country']
Break Up More Often,6FpSqJRS0786oDMKIDqISd,"['contemporary country', 'country road']"
Blessings,7dnDBbHKyJNFXoeVwO8KBY,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
Chattahoochee,59kHPbwyyCApYA8RQQEuXm,"['contemporary country', 'country', 'country road']"
"Big, Big Plans",7yNJCsUH3tXlpQiHSsAc5l,"['contemporary country', 'country road', 'modern country rock']"
America's Sweetheart,2NcstvY8H9PVQ0DMNGHckh,['modern blues rock']
I Just Wanted You To Know,39KHPb4hftle7NNR9F1OIR,"['contemporary country', 'country', 'country road', 'country rock']"
Speak to a Girl,421ebjYqaIXEG2KloTbXlH,"['pop', 'post-teen pop']"
She Gone,4HdB6veTsV8GTmw9H6svyU,"['contemporary country', 'texas country']"
"Take Me Home, Country Roads",39q7xibBdRboeMKUbZEB6g,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Tequila Little Time,15npbUjCgwt2lRvyrJvyxw,"['contemporary country', 'country', 'country road', 'modern country rock']"
Buy That Man A Beer,4wNVYLmFhhBIhBeA2VgmJ4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Nobody Leaves A Girl Like That,7eZ8yGicfHsHQmAWwupaY3,"['contemporary country', 'country', 'country road', 'modern country rock']"
Starlight,2DROU2PMffuPfU5obZRxZs,"['contemporary country', 'country', 'country road', 'modern country rock']"
Me And Jack,6dHvwnHL84SuSbzzzZGbVP,"['contemporary country', 'country', 'country road', 'modern country rock']"
Old Hat,2BNTOqv1zDZbItHIiuUKWf,"['contemporary country', 'country', 'country road', 'modern country rock']"
Cold Hearted,3X2D7YigBKJwSqttC2abyg,"['contemporary country', 'country', 'country road', 'modern country rock']"
Party Crowd,57IEs29xqMQaAkjQ8iQuI0,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
Mud On the Tires,2rQyI7A1yTvTXJ9J4qFmmN,"['contemporary country', 'country', 'country road']"
Used to You,2HR9wF4WR2sCJP4r6l9WVF,['contemporary country']
Fast Hearts And Slow Towns,6DhHbeKjXAwsyeMpm6FigK,"['contemporary country', 'neo-traditional country', 'texas country']"
