name,uri,genres,artist
Home,7w5cxTEzp1rfV3KCy0Bd5N,"['double drumming', 'indie folk', 'indie pop', 'la indie', 'modern rock', 'stomp and holler']",Edward Sharpe & The Magnetic Zeros
Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']",Baby Bash
Fly,3uPfVXcjnpOjyzI3jb3js4,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
Roots,5HorjQJbDWGabguEDSwQvl,"['alternative r&b', 'indie r&b', 'nyc pop', 'pop']",Cautious Clay
American Kids,1dgWTMoHwTUnQhOQ8SR5fV,"['contemporary country', 'country', 'country road']",Kenny Chesney
Charleston Girl (Live),3R6yNicsZrWF8ybl02imcB,"['kentucky indie', 'kentucky roots', 'outlaw country']",Tyler Childers
Reminiscing - Remastered,34D6mvDTAPypm92EPs8Rxa,"['album rock', 'art rock', 'australian rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Little River Band
Sherry Baby,21q7D3MMTipo52LoUH6XJN,"['heartland rock', 'mellow gold', 'rock']",Stevie G
You and Tequila (feat. Grace Potter),1t2hJFgJyUPD2crOafMUEk,"['contemporary country', 'country', 'country road']",Kenny Chesney
"So Long, Honey",11HXGSToW21uxNRl8kKBbu,"['indie folk', 'new americana', 'stomp and holler']",Caamp
Yoko Ono,4tDuuFTq60JH84e0oO9Pu7,[],Mob Rich
Oh My,12XxqI4ofdLx7DtD8mdlZc,['modern alternative pop'],James Quick
Proud Mary,2EZc13S7YRi6bTS3SKteRN,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']",Creedence Clearwater Revival
Take A Load Off Your Feet - Remastered 2009,4sRVY84sduxcqn0JsTMqrC,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",The Beach Boys
Outlaw State Of Mind,5WFJ17ke5ldHuM0X3J5ddz,"['contemporary country', 'outlaw country']",Chris Stapleton
I'm Just a Kid,6otiaV2fagE3s8IvP6WkwG,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk']",Simple Plan
Ca plane pour moi,71yCMlsD6qbD7NmNUEoVNR,['classic belgian pop'],Plastic Bertrand
Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,"['rap', 'slap house']",Travis Scott
Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Van Halen
Z4L (with Bari & Jay2),3X6YJcqTinaNraRvojF62K,"['dance pop', 'pop', 'pop rap']",Smino
I Know A Gun,1uN7FXCu0SDfV2Lb3SlahC,[],Kerry Hart
