,name,uri,genres
132,Tequila Little Time,15npbUjCgwt2lRvyrJvyxw,"['contemporary country', 'country', 'country road', 'modern country rock']"
133,Buy That Man A Beer,4wNVYLmFhhBIhBeA2VgmJ4,"['contemporary country', 'country', 'country road', 'modern country rock']"
134,Nobody Leaves A Girl Like That,7eZ8yGicfHsHQmAWwupaY3,"['contemporary country', 'country', 'country road', 'modern country rock']"
135,Starlight,2DROU2PMffuPfU5obZRxZs,"['contemporary country', 'country', 'country road', 'modern country rock']"
136,Me And Jack,6dHvwnHL84SuSbzzzZGbVP,"['contemporary country', 'country', 'country road', 'modern country rock']"
137,Old Hat,2BNTOqv1zDZbItHIiuUKWf,"['contemporary country', 'country', 'country road', 'modern country rock']"
138,Cold Hearted,3X2D7YigBKJwSqttC2abyg,"['contemporary country', 'country', 'country road', 'modern country rock']"
139,Party Crowd,57IEs29xqMQaAkjQ8iQuI0,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
140,Mud On the Tires,2rQyI7A1yTvTXJ9J4qFmmN,"['contemporary country', 'country', 'country road']"
141,Used to You,2HR9wF4WR2sCJP4r6l9WVF,['contemporary country']
142,Fast Hearts And Slow Towns,6DhHbeKjXAwsyeMpm6FigK,"['contemporary country', 'neo-traditional country', 'texas country']"
143,Altitude Adjustment,4XSLXwwLskeFy1k6ec4tBg,"['contemporary country', 'neo-traditional country', 'texas country']"
144,Somewhere On The Wind,7kISgr6Y51hKENX23gXu2L,"['contemporary country', 'neo-traditional country', 'texas country']"
145,Brand New Man - with Luke Combs,6SewJZC2f9ETwJR2zZWkOP,"['contemporary country', 'country', 'country road', 'country rock']"
146,Summer Nights,27rSEMh30XdxOgQX7AKSaM,"['contemporary country', 'country', 'country road', 'pop rock']"
147,What I See,4zLh511JiWkVxr5QOUkeVR,"['contemporary country', 'country pop']"
148,American Nights,6B4LAyly39cv8Cat9nHObl,['contemporary country']
149,Monsters,55UCRHfezMCFfbGy0tfjTG,"['contemporary country', 'country', 'country road']"
150,I Got Away with You,5FUKOLrwBWkUzJ0Du3dm5T,['contemporary country']
151,Rainy Night Song,1F1E5k7UZpbNpByURm6Xgd,"['contemporary country', 'country', 'country road', 'modern country rock']"
152,Back On The Backroads,6rDaYgIdP4qDRYpUlOnlLV,"['contemporary country', 'country', 'country road', 'modern country rock']"
153,Gettin' You Home,28Sc21lrWcZD9Ov4rRkPJq,"['contemporary country', 'country', 'country road', 'modern country rock']"
154,Panama Red,2SMBD7vVSuoWLBqdst7TtA,"['banjo', 'bluegrass', 'country rock', 'jam band', 'jamgrass', 'old-time', 'progressive bluegrass']"
155,I Know She Ain't Ready,0TQ9Hf5DwI9crGZSIlq445,['contemporary country']
