name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad,uri
Bottoms Up (feat. Nicki Minaj) BY Trey Songz...,0.022144809440401873,0.8594594594594595,0.5397796817625459,0.0,0.44629582158420916,0.7393212788259957,0.22057179364318796,0.07924812659605646,0.25409836065573765,0.20224921,0.59056914,0.10357631,0.10360534,2IpGdrWvIZipmaxo1YRxw5
Ned Flanders (feat. A$AP Ferg) BY MadeinTYO...,0.027465731632230886,0.9824324324324324,0.41003671970624234,0.0,0.06434247628813122,0.6882861635220126,0.3291806420699569,0.539351948758739,0.2189695550351288,0.2794381,0.5870397,0.040406477,0.09311572,2EUNZfjPToKZIahK0WMLKd
The Motto BY Drake...,0.0,0.7527027027027028,0.34516523867809057,0.00010588235294117647,0.09510381953345295,0.5247641509433961,0.5320236383964223,0.97089072159194,0.32552693208430916,0.30840415,0.5821772,0.041267965,0.06815071,4Kz4RdRCceaA9VgTqBhBfa
I Don't Want This Night To End BY Luke Bryan...,0.029746126857300468,0.5499999999999999,0.6952264381884944,0.0,0.2450653678543963,0.8220649895178196,0.007826225842517166,0.343869050110939,0.3079625292740047,0.06155508,0.5782551,0.24104826,0.11914151,0cV4xwUA4ue2deqq4CZFko
Man Like Me BY Riley Gree...,0.028443043871546423,0.3824324324324324,0.7943696450428397,0.0,0.539861573955396,0.7971698113207546,0.021721769685353776,0.6801886660805738,0.3618266978922716,0.033753842,0.5779246,0.27138105,0.11694054,77LywUODoUWlQJxsKQBpHw
You Found Me BY The Fray...,0.020190184961770805,0.17432432432432432,0.7870257037943696,0.0,0.1271468854139964,0.7308700209643605,0.029388276633125703,0.6233795230320538,0.3372365339578455,0.030745072,0.5772201,0.3069082,0.0851266,4IoYz8XqqdowINzfRrFnhi
American Nights BY Morgan Wal...,0.14105113189045848,0.3445945945945946,0.8004895960832312,0.00048096885813148787,0.11945654960266597,0.7570754716981132,0.013416387158600863,0.2814362065837764,0.22014051522248243,0.061416652,0.5746733,0.21902744,0.14488263,6B4LAyly39cv8Cat9nHObl
Pretty Heart BY Parker McC...,0.005649950645731914,0.47702702702702704,0.6401468788249695,0.0,0.08997692899256599,0.7954009433962264,0.010701165947931641,0.4838964011107854,0.319672131147541,0.061223596,0.56737465,0.25083846,0.12056334,6vC90OOjZR165Hw8CpsqEm
Get Along BY Kenny Ches...,0.10955995973473574,0.5716216216216216,0.788249694002448,0.0,0.1707254550115355,0.6852070230607965,0.04376297716019805,0.20796528097570505,0.2786885245901639,0.08009332,0.5651566,0.24343398,0.11131606,6n6OQfBpCgzF9oEg8zhBN7
Every Teardrop Is a Waterfall BY Coldplay...,0.0019904592607393043,0.2918918918918919,0.7001223990208078,0.01782006920415225,0.17200717764675724,0.6344994758909852,0.02667305542245648,0.38605378099663695,0.2587822014051522,0.06150668,0.561405,0.26393187,0.113156445,2U8g9wVcUu9wsg6i7sFSv8
"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream) BY Dreamville...",0.423385778803835,0.4054054054054054,0.664626682986536,0.0,0.2976159958984876,0.6859931865828091,0.7811851141990098,0.7787290157826432,0.22131147540983606,0.3419502,0.56088847,0.016643317,0.08051802,7wxDKfgFtRTbupcG4xDhtj
Wild Ones (feat. Sia) BY Flo Rida...,0.10749674500729182,0.5391891891891891,0.8567931456548347,0.0,0.2886439374519354,0.7366352201257861,0.05190864079220572,0.4495122870180433,0.3805620608899297,0.048604056,0.5605191,0.30173463,0.08914217,1NpW5kyvO4XrNJ3rnfcNy3
