,name,uri,genres,artist
211,Keep 'Em on They Toes,0f388trqcZyqGbPJUqGWpx,"['indie folk', 'modern southern rock', 'new americana', 'roots americana', 'roots rock']",Brent Cobb
212,No Sleep,2pfAvgMoHLfialvMYn337d,"['indie folk', 'new americana', 'stomp and holler']",Caamp
213,Come Back to Bed,1wU7z5XE8oa66ZvUlYAKfK,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
218,Team,3G6hD9B2ZHOsgf4WfNu7X1,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",Lorde
222,Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,"['classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'soft rock']",Stealers Wheel
223,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,['indie rockism'],PUBLIC
224,This Joint,6wxGZ8D8lAuJpocaTAVVyL,"['reggae fusion', 'reggae rock']",Slightly Stoopid
226,Never Been To Spain,55KjdOqaFxNpwDoQFjFOFa,"['rock-and-roll', 'rockabilly']",Elvis Presley
227,Parallel Parking,5QGHOeBYDauPtC8yYD3wZZ,[],Arden Jones
228,The Man Who Has Everything,3woRy7uxzl1lO2XO99oHsN,"['canadian pop', 'pop', 'post-teen pop']",Chance the Rapper
229,Believe Me,3kZl72xpSg8bVdE2XNYz7T,[],Navos
230,Bammer Weed,55FCJouEtl0oqKnIi7qKSL,"['gangster rap', 'hyphy', 'west coast rap', 'west coast trap']",RBL Posse
231,Somewhere Only We Know,0ll8uFnc0nANY35E0Lfxvg,"['neo mellow', 'piano rock', 'pop rock', 'rock']",Keane
233,Gimmie Love,7BXJKrUhH5Z61kMf4LDIMr,['reggae fusion'],Collie Buddz
234,2am,4cs6ORX8aKd6rtVdwAnnel,"['reggae fusion', 'reggae rock']",Slightly Stoopid
235,Music Sounds Better with You,24nL5EXPrdodyCdxXoRRBZ,"['indie soul', 'vapor soul']",NEIL FRANCES
236,Man You Were Looking For,4TUh0AvyCZ2AoiZqbnOryD,['australian reggae fusion'],Ocean Alley
237,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,"['boy band', 'hip hop', 'rap']",BROCKHAMPTON
238,You Can Get It If You Really Want,1Pao4DTLMB4gJPTnqmLgSQ,"['dub', 'reggae', 'roots reggae']",Jimmy Cliff
240,Lights - Bassnectar Remix - Bonus Track,4qxUFzBKlmP98kIRKFszju,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",Ellie Goulding
241,Starry Eyed,1vWGa8yC21ZELs9dAhiC2Q,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",Ellie Goulding
243,Sandstorm - Radio Edit,24CXuh2WNpgeSYUOvz14jk,"['eurodance', 'europop', 'finnish edm']",Darude
244,Boom Boom Pow,7xRNsqOQOgWbHV1nbXnfXN,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas
